State,Year,Date,Unemployment Rate,  Subsidies (millions of dollars),  Taxes on production and imports (TOPI) (millions of dollars),Chain-type quantity indexes for real GDP,Compensation (millions of dollars),Current-dollar GDP (millions of current dollars),Gross operating surplus (millions of dollars),Real GDP (millions of chained 2017 dollars) 1,Taxes on production and imports (TOPI) less subsides (millions of dollars),State.Minimum.Wage,State.Minimum.Wage.2020.Dollars,Federal.Minimum.Wage,Federal.Minimum.Wage.2020.Dollars,Effective.Minimum.Wage,Effective.Minimum.Wage.2020.Dollars,CPI.Average
Alaska,2022,9/1/22,3.9,-265.1,4994.1,94.802,30858.8,66271.9,30684,50767.1,4729.1,,,,,,,
Arizona,2022,9/1/22,4,-1713.5,31636.8,123.155,252418.7,484052.2,201710.4,410228.4,29923.2,,,,,,,
Arkansas,2022,9/1/22,3.3,-1033.2,12687.5,112.656,88247.3,168605.8,68704.2,139560.7,11654.3,,,,,,,
California,2022,9/1/22,4,-18427.4,257456.5,116.181,1929551.2,3660415.7,1491835.4,3184007.8,239029.1,,,,,,,
Colorado,2022,9/1/22,2.8,-2556.9,31813.1,119.591,265986.7,494672.8,199429.8,418818.8,29256.3,,,,,,,
Connecticut,2022,9/1/22,3.8,-1363.7,23199.2,101.862,166205,321686.4,133645.9,278975.9,21835.6,,,,,,,
Delaware,2022,9/1/22,4.2,-394.8,5145.9,110.917,40019,92558.2,47788.1,77149.2,4751.1,,,,,,,
Florida,2022,9/1/22,2.8,-5855.3,120780.5,122.172,764185.1,1465281.1,586170.8,1239883.6,114925.2,,,,,,,
Georgia,2022,9/1/22,3.2,-2679.1,47594.1,114.075,399745.8,779684,335023.2,665678.1,44915,,,,,,,
Hawaii,2022,9/1/22,3.3,-527.5,10737.3,99.373,54900.8,103153.1,38042.5,86887.8,10209.8,,,,,,,
Idaho,2022,9/1/22,3,-614.8,7042.4,127.379,57902.7,112290.1,47959.8,92903.7,6427.6,,,,,,,
Illinois,2022,9/1/22,4.6,-5340.4,82922.7,105.248,554105.5,1040353.3,408665.5,876536,77582.2,,,,,,,
Indiana,2022,9/1/22,3.2,-1876.5,27555.3,111.676,234427.1,473492.9,213387,399280.8,25678.8,,,,,,,
Iowa,2022,9/1/22,3.1,-2213.3,15396.1,107.725,112554.2,242752.9,117015.8,201580.4,13182.9,,,,,,,
Kansas,2022,9/1/22,2.7,-1710.7,14406.1,106.734,104424.9,212611.6,95491.4,177470.1,12695.4,,,,,,,
Kentucky,2022,9/1/22,4.1,-1071.3,18844.3,107.954,141140.8,261540.7,102626.9,219755.6,17773,,,,,,,
Louisiana,2022,9/1/22,3.6,-1224.2,23277.5,98.759,140467,298424.5,135904.1,236854.1,22053.4,,,,,,,
Maine,2022,9/1/22,2.7,-431.6,8009.7,115.929,47509.7,86493.3,31405.6,73036.2,7578.1,,,,,,,
Maryland,2022,9/1/22,2.9,-2735.1,32418,104.176,262861.6,484907.6,192363.1,416406.2,29682.9,,,,,,,
Massachusetts,2022,9/1/22,3.6,-3923.2,36424.5,114.699,392512.9,695612.1,270597.9,608052.9,32501.3,,,,,,,
Michigan,2022,9/1/22,4.1,-2241.8,41949,107.646,344519,627009.1,242782.9,543720.9,39707.2,,,,,,,
Minnesota,2022,9/1/22,2.7,-3203.8,29943.5,108.459,249089.1,454992.8,179164,384727.7,26739.7,,,,,,,
Mississippi,2022,9/1/22,3.8,-831.6,11910.3,105.691,73823.2,142762.3,57860.5,116557.1,11078.6,,,,,,,
Missouri,2022,9/1/22,2.7,-2218.1,23305.8,109.117,220781.4,400265.1,158395.9,339652.4,21087.8,,,,,,,
Montana,2022,9/1/22,2.7,-991,4273.3,113.871,35213.8,68702,30205.9,55193.9,3282.3,,,,,,,
Nebraska,2022,9/1/22,2.4,-1452,10183.9,113.164,75858.2,167480.2,82890.1,139440.9,8732,,,,,,,
Nevada,2022,9/1/22,5.3,-879,19380.5,116.706,116630.1,227320.6,92189.1,190463.3,18501.5,,,,,,,
New Hampshire,2022,9/1/22,2.4,-371.3,7058.8,112.61,59932.6,106488,39867.9,91416.1,6687.5,,,,,,,
New Jersey,2022,9/1/22,3.3,-3336.1,72028.5,110.193,405493.4,758288.7,284103,650235.8,68692.4,,,,,,,
New Mexico,2022,9/1/22,3.5,-639.8,11334.3,110.827,60971.2,128138.8,56473,103301.6,10694.6,,,,,,,
New York,2022,9/1/22,4,-13806.1,149996.4,108.635,1036107.7,2052758.8,880460.8,1765102.1,136190.3,,,,,,,
North Carolina,2022,9/1/22,3.9,-2897.5,44179,113.3,389014.7,728498.7,298202.4,619537.2,41281.5,,,,,,,
North Dakota,2022,9/1/22,2,-2503.5,6641.9,99.041,32341.3,73780,37300.4,55988,4138.3,,,,,,,
Ohio,2022,9/1/22,4.1,-3159.7,55549.4,106.604,424664.2,832660.7,355606.9,695257.9,52389.7,,,,,,,
Oklahoma,2022,9/1/22,3.2,-1489.4,16614.5,100.728,117553.5,245976.2,113297.6,193940.5,15125.1,,,,,,,
Oregon,2022,9/1/22,4.2,-1750.4,17568,113.536,167963.4,298848,115067,256062.7,15817.6,,,,,,,
Pennsylvania,2022,9/1/22,4,-4327,62290.7,103.32,496877.6,919741.1,364899.8,779360.6,57963.7,,,,,,,
Rhode Island,2022,9/1/22,3.2,-364,6185.3,105.969,41207.6,72869.2,25840.3,62279.4,5821.3,,,,,,,
South Carolina,2022,9/1/22,3.3,-1054.1,23083.8,113.144,160374.5,301945.1,119540.9,254504.5,22029.7,,,,,,,
South Dakota,2022,9/1/22,2.1,-1966.7,5008.4,107.061,30946.5,69069.3,35081.1,55259.8,3041.6,,,,,,,
Tennessee,2022,9/1/22,3.4,-2106.6,35006.8,116.615,244122.3,488670.1,211647.6,414470.8,32900.2,,,,,,,
Texas,2022,9/1/22,3.9,-8766.7,196280.5,117.117,1135787.7,2436925,1113623.5,1952708.6,187513.8,,,,,,,
Utah,2022,9/1/22,2.5,-987.1,14804.7,126.365,131528.4,261080.8,115734.8,217442.5,13817.6,,,,,,,
Vermont,2022,9/1/22,2.5,-236.7,4140.1,106.638,22853.1,41011.6,14255.1,34752.6,3903.4,,,,,,,
Virginia,2022,9/1/22,2.8,-2523.2,45516.1,112.677,375797.9,666681.8,247890.9,580475.2,42993,,,,,,,
Washington,2022,9/1/22,4.2,-3428,61360.9,122.176,376411,742909.5,308565.6,644075.1,57932.9,,,,,,,
West Virginia,2022,9/1/22,4,-328.1,7479.3,102.681,46004.3,98290,45134.5,77188,7151.2,,,,,,,
Wisconsin,2022,9/1/22,3,-1562.8,26213.3,105.549,223790.9,400621.4,152179.9,339747.9,24650.6,,,,,,,
Wyoming,2022,9/1/22,3.5,-247.1,4514.9,100.55,20834,49782.6,24680.8,37827.2,4267.8,,,,,,,
Alabama,2022,10/1/22,2.5,-951.1,17614.1,110.129,149053.7,284949.1,119232.4,238556.5,16663,,,,,,,
Alaska,2022,10/1/22,4,-265.1,4994.1,94.802,30858.8,66271.9,30684,50767.1,4729.1,,,,,,,
Arizona,2022,10/1/22,4,-1713.5,31636.8,123.155,252418.7,484052.2,201710.4,410228.4,29923.2,,,,,,,
Arkansas,2022,10/1/22,3.3,-1033.2,12687.5,112.656,88247.3,168605.8,68704.2,139560.7,11654.3,,,,,,,
California,2022,10/1/22,4.2,-18427.4,257456.5,116.181,1929551.2,3660415.7,1491835.4,3184007.8,239029.1,,,,,,,
Colorado,2022,10/1/22,2.9,-2556.9,31813.1,119.591,265986.7,494672.8,199429.8,418818.8,29256.3,,,,,,,
Connecticut,2022,10/1/22,3.8,-1363.7,23199.2,101.862,166205,321686.4,133645.9,278975.9,21835.6,,,,,,,
Delaware,2022,10/1/22,4.2,-394.8,5145.9,110.917,40019,92558.2,47788.1,77149.2,4751.1,,,,,,,
Florida,2022,10/1/22,2.9,-5855.3,120780.5,122.172,764185.1,1465281.1,586170.8,1239883.6,114925.2,,,,,,,
Georgia,2022,10/1/22,3.3,-2679.1,47594.1,114.075,399745.8,779684,335023.2,665678.1,44915,,,,,,,
Hawaii,2022,10/1/22,3.3,-527.5,10737.3,99.373,54900.8,103153.1,38042.5,86887.8,10209.8,,,,,,,
Idaho,2022,10/1/22,3,-614.8,7042.4,127.379,57902.7,112290.1,47959.8,92903.7,6427.6,,,,,,,
Illinois,2022,10/1/22,4.6,-5340.4,82922.7,105.248,554105.5,1040353.3,408665.5,876536,77582.2,,,,,,,
Indiana,2022,10/1/22,3.3,-1876.5,27555.3,111.676,234427.1,473492.9,213387,399280.8,25678.8,,,,,,,
Iowa,2022,10/1/22,3.1,-2213.3,15396.1,107.725,112554.2,242752.9,117015.8,201580.4,13182.9,,,,,,,
Kansas,2022,10/1/22,2.8,-1710.7,14406.1,106.734,104424.9,212611.6,95491.4,177470.1,12695.4,,,,,,,
Kentucky,2022,10/1/22,4.1,-1071.3,18844.3,107.954,141140.8,261540.7,102626.9,219755.6,17773,,,,,,,
Louisiana,2022,10/1/22,3.6,-1224.2,23277.5,98.759,140467,298424.5,135904.1,236854.1,22053.4,,,,,,,
Maine,2022,10/1/22,2.8,-431.6,8009.7,115.929,47509.7,86493.3,31405.6,73036.2,7578.1,,,,,,,
Maryland,2022,10/1/22,2.8,-2735.1,32418,104.176,262861.6,484907.6,192363.1,416406.2,29682.9,,,,,,,
Massachusetts,2022,10/1/22,3.7,-3923.2,36424.5,114.699,392512.9,695612.1,270597.9,608052.9,32501.3,,,,,,,
Michigan,2022,10/1/22,4.2,-2241.8,41949,107.646,344519,627009.1,242782.9,543720.9,39707.2,,,,,,,
Minnesota,2022,10/1/22,2.7,-3203.8,29943.5,108.459,249089.1,454992.8,179164,384727.7,26739.7,,,,,,,
Mississippi,2022,10/1/22,3.8,-831.6,11910.3,105.691,73823.2,142762.3,57860.5,116557.1,11078.6,,,,,,,
Missouri,2022,10/1/22,2.8,-2218.1,23305.8,109.117,220781.4,400265.1,158395.9,339652.4,21087.8,,,,,,,
Montana,2022,10/1/22,2.7,-991,4273.3,113.871,35213.8,68702,30205.9,55193.9,3282.3,,,,,,,
Nebraska,2022,10/1/22,2.4,-1452,10183.9,113.164,75858.2,167480.2,82890.1,139440.9,8732,,,,,,,
Nevada,2022,10/1/22,5.3,-879,19380.5,116.706,116630.1,227320.6,92189.1,190463.3,18501.5,,,,,,,
New Hampshire,2022,10/1/22,2.4,-371.3,7058.8,112.61,59932.6,106488,39867.9,91416.1,6687.5,,,,,,,
New Jersey,2022,10/1/22,3.5,-3336.1,72028.5,110.193,405493.4,758288.7,284103,650235.8,68692.4,,,,,,,
New Mexico,2022,10/1/22,3.6,-639.8,11334.3,110.827,60971.2,128138.8,56473,103301.6,10694.6,,,,,,,
New York,2022,10/1/22,4.1,-13806.1,149996.4,108.635,1036107.7,2052758.8,880460.8,1765102.1,136190.3,,,,,,,
North Carolina,2022,10/1/22,3.8,-2897.5,44179,113.3,389014.7,728498.7,298202.4,619537.2,41281.5,,,,,,,
North Dakota,2022,10/1/22,2,-2503.5,6641.9,99.041,32341.3,73780,37300.4,55988,4138.3,,,,,,,
Ohio,2022,10/1/22,4.1,-3159.7,55549.4,106.604,424664.2,832660.7,355606.9,695257.9,52389.7,,,,,,,
Oklahoma,2022,10/1/22,3.2,-1489.4,16614.5,100.728,117553.5,245976.2,113297.6,193940.5,15125.1,,,,,,,
Oregon,2022,10/1/22,4.2,-1750.4,17568,113.536,167963.4,298848,115067,256062.7,15817.6,,,,,,,
Pennsylvania,2022,10/1/22,3.9,-4327,62290.7,103.32,496877.6,919741.1,364899.8,779360.6,57963.7,,,,,,,
Rhode Island,2022,10/1/22,3.2,-364,6185.3,105.969,41207.6,72869.2,25840.3,62279.4,5821.3,,,,,,,
South Carolina,2022,10/1/22,3.2,-1054.1,23083.8,113.144,160374.5,301945.1,119540.9,254504.5,22029.7,,,,,,,
South Dakota,2022,10/1/22,2.1,-1966.7,5008.4,107.061,30946.5,69069.3,35081.1,55259.8,3041.6,,,,,,,
Tennessee,2022,10/1/22,3.5,-2106.6,35006.8,116.615,244122.3,488670.1,211647.6,414470.8,32900.2,,,,,,,
Texas,2022,10/1/22,4,-8766.7,196280.5,117.117,1135787.7,2436925,1113623.5,1952708.6,187513.8,,,,,,,
Utah,2022,10/1/22,2.5,-987.1,14804.7,126.365,131528.4,261080.8,115734.8,217442.5,13817.6,,,,,,,
Vermont,2022,10/1/22,2.5,-236.7,4140.1,106.638,22853.1,41011.6,14255.1,34752.6,3903.4,,,,,,,
Virginia,2022,10/1/22,3,-2523.2,45516.1,112.677,375797.9,666681.8,247890.9,580475.2,42993,,,,,,,
Washington,2022,10/1/22,4.3,-3428,61360.9,122.176,376411,742909.5,308565.6,644075.1,57932.9,,,,,,,
West Virginia,2022,10/1/22,4,-328.1,7479.3,102.681,46004.3,98290,45134.5,77188,7151.2,,,,,,,
Wisconsin,2022,10/1/22,2.9,-1562.8,26213.3,105.549,223790.9,400621.4,152179.9,339747.9,24650.6,,,,,,,
Wyoming,2022,10/1/22,3.5,-247.1,4514.9,100.55,20834,49782.6,24680.8,37827.2,4267.8,,,,,,,
Alabama,2022,11/1/22,2.5,-951.1,17614.1,110.129,149053.7,284949.1,119232.4,238556.5,16663,,,,,,,
Alaska,2022,11/1/22,4,-265.1,4994.1,94.802,30858.8,66271.9,30684,50767.1,4729.1,,,,,,,
Arizona,2022,11/1/22,3.9,-1713.5,31636.8,123.155,252418.7,484052.2,201710.4,410228.4,29923.2,,,,,,,
Arkansas,2022,11/1/22,3.2,-1033.2,12687.5,112.656,88247.3,168605.8,68704.2,139560.7,11654.3,,,,,,,
California,2022,11/1/22,4.3,-18427.4,257456.5,116.181,1929551.2,3660415.7,1491835.4,3184007.8,239029.1,,,,,,,
Colorado,2022,11/1/22,3,-2556.9,31813.1,119.591,265986.7,494672.8,199429.8,418818.8,29256.3,,,,,,,
Connecticut,2022,11/1/22,3.8,-1363.7,23199.2,101.862,166205,321686.4,133645.9,278975.9,21835.6,,,,,,,
Delaware,2022,11/1/22,4.2,-394.8,5145.9,110.917,40019,92558.2,47788.1,77149.2,4751.1,,,,,,,
Florida,2022,11/1/22,2.8,-5855.3,120780.5,122.172,764185.1,1465281.1,586170.8,1239883.6,114925.2,,,,,,,
Georgia,2022,11/1/22,3.3,-2679.1,47594.1,114.075,399745.8,779684,335023.2,665678.1,44915,,,,,,,
Hawaii,2022,11/1/22,3.3,-527.5,10737.3,99.373,54900.8,103153.1,38042.5,86887.8,10209.8,,,,,,,
Idaho,2022,11/1/22,3,-614.8,7042.4,127.379,57902.7,112290.1,47959.8,92903.7,6427.6,,,,,,,
Illinois,2022,11/1/22,4.6,-5340.4,82922.7,105.248,554105.5,1040353.3,408665.5,876536,77582.2,,,,,,,
Indiana,2022,11/1/22,3.3,-1876.5,27555.3,111.676,234427.1,473492.9,213387,399280.8,25678.8,,,,,,,
Iowa,2022,11/1/22,3.1,-2213.3,15396.1,107.725,112554.2,242752.9,117015.8,201580.4,13182.9,,,,,,,
Kansas,2022,11/1/22,2.8,-1710.7,14406.1,106.734,104424.9,212611.6,95491.4,177470.1,12695.4,,,,,,,
Kentucky,2022,11/1/22,4.1,-1071.3,18844.3,107.954,141140.8,261540.7,102626.9,219755.6,17773,,,,,,,
Louisiana,2022,11/1/22,3.6,-1224.2,23277.5,98.759,140467,298424.5,135904.1,236854.1,22053.4,,,,,,,
Maine,2022,11/1/22,2.8,-431.6,8009.7,115.929,47509.7,86493.3,31405.6,73036.2,7578.1,,,,,,,
Maryland,2022,11/1/22,2.7,-2735.1,32418,104.176,262861.6,484907.6,192363.1,416406.2,29682.9,,,,,,,
Massachusetts,2022,11/1/22,3.6,-3923.2,36424.5,114.699,392512.9,695612.1,270597.9,608052.9,32501.3,,,,,,,
Michigan,2022,11/1/22,4.2,-2241.8,41949,107.646,344519,627009.1,242782.9,543720.9,39707.2,,,,,,,
Minnesota,2022,11/1/22,2.8,-3203.8,29943.5,108.459,249089.1,454992.8,179164,384727.7,26739.7,,,,,,,
Mississippi,2022,11/1/22,3.8,-831.6,11910.3,105.691,73823.2,142762.3,57860.5,116557.1,11078.6,,,,,,,
Missouri,2022,11/1/22,2.8,-2218.1,23305.8,109.117,220781.4,400265.1,158395.9,339652.4,21087.8,,,,,,,
Montana,2022,11/1/22,2.6,-991,4273.3,113.871,35213.8,68702,30205.9,55193.9,3282.3,,,,,,,
Nebraska,2022,11/1/22,2.3,-1452,10183.9,113.164,75858.2,167480.2,82890.1,139440.9,8732,,,,,,,
Nevada,2022,11/1/22,5.3,-879,19380.5,116.706,116630.1,227320.6,92189.1,190463.3,18501.5,,,,,,,
New Hampshire,2022,11/1/22,2.3,-371.3,7058.8,112.61,59932.6,106488,39867.9,91416.1,6687.5,,,,,,,
New Jersey,2022,11/1/22,3.7,-3336.1,72028.5,110.193,405493.4,758288.7,284103,650235.8,68692.4,,,,,,,
New Mexico,2022,11/1/22,3.6,-639.8,11334.3,110.827,60971.2,128138.8,56473,103301.6,10694.6,,,,,,,
New York,2022,11/1/22,4.2,-13806.1,149996.4,108.635,1036107.7,2052758.8,880460.8,1765102.1,136190.3,,,,,,,
North Carolina,2022,11/1/22,3.8,-2897.5,44179,113.3,389014.7,728498.7,298202.4,619537.2,41281.5,,,,,,,
North Dakota,2022,11/1/22,2,-2503.5,6641.9,99.041,32341.3,73780,37300.4,55988,4138.3,,,,,,,
Ohio,2022,11/1/22,4,-3159.7,55549.4,106.604,424664.2,832660.7,355606.9,695257.9,52389.7,,,,,,,
Oklahoma,2022,11/1/22,3.2,-1489.4,16614.5,100.728,117553.5,245976.2,113297.6,193940.5,15125.1,,,,,,,
Oregon,2022,11/1/22,4.2,-1750.4,17568,113.536,167963.4,298848,115067,256062.7,15817.6,,,,,,,
Pennsylvania,2022,11/1/22,3.9,-4327,62290.7,103.32,496877.6,919741.1,364899.8,779360.6,57963.7,,,,,,,
Rhode Island,2022,11/1/22,3.1,-364,6185.3,105.969,41207.6,72869.2,25840.3,62279.4,5821.3,,,,,,,
South Carolina,2022,11/1/22,3.2,-1054.1,23083.8,113.144,160374.5,301945.1,119540.9,254504.5,22029.7,,,,,,,
South Dakota,2022,11/1/22,2,-1966.7,5008.4,107.061,30946.5,69069.3,35081.1,55259.8,3041.6,,,,,,,
Tennessee,2022,11/1/22,3.5,-2106.6,35006.8,116.615,244122.3,488670.1,211647.6,414470.8,32900.2,,,,,,,
Texas,2022,11/1/22,4,-8766.7,196280.5,117.117,1135787.7,2436925,1113623.5,1952708.6,187513.8,,,,,,,
Utah,2022,11/1/22,2.5,-987.1,14804.7,126.365,131528.4,261080.8,115734.8,217442.5,13817.6,,,,,,,
Vermont,2022,11/1/22,2.4,-236.7,4140.1,106.638,22853.1,41011.6,14255.1,34752.6,3903.4,,,,,,,
Virginia,2022,11/1/22,3.1,-2523.2,45516.1,112.677,375797.9,666681.8,247890.9,580475.2,42993,,,,,,,
Washington,2022,11/1/22,4.3,-3428,61360.9,122.176,376411,742909.5,308565.6,644075.1,57932.9,,,,,,,
West Virginia,2022,11/1/22,3.8,-328.1,7479.3,102.681,46004.3,98290,45134.5,77188,7151.2,,,,,,,
Wisconsin,2022,11/1/22,2.8,-1562.8,26213.3,105.549,223790.9,400621.4,152179.9,339747.9,24650.6,,,,,,,
Wyoming,2022,11/1/22,3.5,-247.1,4514.9,100.55,20834,49782.6,24680.8,37827.2,4267.8,,,,,,,
Alabama,2022,12/1/22,2.4,-951.1,17614.1,110.129,149053.7,284949.1,119232.4,238556.5,16663,,,,,,,
Alaska,2022,12/1/22,4,-265.1,4994.1,94.802,30858.8,66271.9,30684,50767.1,4729.1,,,,,,,
Arizona,2022,12/1/22,3.8,-1713.5,31636.8,123.155,252418.7,484052.2,201710.4,410228.4,29923.2,,,,,,,
Arkansas,2022,12/1/22,3.1,-1033.2,12687.5,112.656,88247.3,168605.8,68704.2,139560.7,11654.3,,,,,,,
California,2022,12/1/22,4.4,-18427.4,257456.5,116.181,1929551.2,3660415.7,1491835.4,3184007.8,239029.1,,,,,,,
Colorado,2022,12/1/22,3,-2556.9,31813.1,119.591,265986.7,494672.8,199429.8,418818.8,29256.3,,,,,,,
Connecticut,2022,12/1/22,3.7,-1363.7,23199.2,101.862,166205,321686.4,133645.9,278975.9,21835.6,,,,,,,
Delaware,2022,12/1/22,4.1,-394.8,5145.9,110.917,40019,92558.2,47788.1,77149.2,4751.1,,,,,,,
Florida,2022,12/1/22,2.8,-5855.3,120780.5,122.172,764185.1,1465281.1,586170.8,1239883.6,114925.2,,,,,,,
Georgia,2022,12/1/22,3.3,-2679.1,47594.1,114.075,399745.8,779684,335023.2,665678.1,44915,,,,,,,
Hawaii,2022,12/1/22,3.2,-527.5,10737.3,99.373,54900.8,103153.1,38042.5,86887.8,10209.8,,,,,,,
Idaho,2022,12/1/22,2.9,-614.8,7042.4,127.379,57902.7,112290.1,47959.8,92903.7,6427.6,,,,,,,
Illinois,2022,12/1/22,4.5,-5340.4,82922.7,105.248,554105.5,1040353.3,408665.5,876536,77582.2,,,,,,,
Indiana,2022,12/1/22,3.3,-1876.5,27555.3,111.676,234427.1,473492.9,213387,399280.8,25678.8,,,,,,,
Iowa,2022,12/1/22,3,-2213.3,15396.1,107.725,112554.2,242752.9,117015.8,201580.4,13182.9,,,,,,,
Kansas,2022,12/1/22,2.8,-1710.7,14406.1,106.734,104424.9,212611.6,95491.4,177470.1,12695.4,,,,,,,
Kentucky,2022,12/1/22,4.1,-1071.3,18844.3,107.954,141140.8,261540.7,102626.9,219755.6,17773,,,,,,,
Louisiana,2022,12/1/22,3.6,-1224.2,23277.5,98.759,140467,298424.5,135904.1,236854.1,22053.4,,,,,,,
Maine,2022,12/1/22,2.7,-431.6,8009.7,115.929,47509.7,86493.3,31405.6,73036.2,7578.1,,,,,,,
Maryland,2022,12/1/22,2.5,-2735.1,32418,104.176,262861.6,484907.6,192363.1,416406.2,29682.9,,,,,,,
Massachusetts,2022,12/1/22,3.5,-3923.2,36424.5,114.699,392512.9,695612.1,270597.9,608052.9,32501.3,,,,,,,
Michigan,2022,12/1/22,4.1,-2241.8,41949,107.646,344519,627009.1,242782.9,543720.9,39707.2,,,,,,,
Minnesota,2022,12/1/22,2.8,-3203.8,29943.5,108.459,249089.1,454992.8,179164,384727.7,26739.7,,,,,,,
Mississippi,2022,12/1/22,3.6,-831.6,11910.3,105.691,73823.2,142762.3,57860.5,116557.1,11078.6,,,,,,,
Missouri,2022,12/1/22,2.8,-2218.1,23305.8,109.117,220781.4,400265.1,158395.9,339652.4,21087.8,,,,,,,
Montana,2022,12/1/22,2.6,-991,4273.3,113.871,35213.8,68702,30205.9,55193.9,3282.3,,,,,,,
Nebraska,2022,12/1/22,2.2,-1452,10183.9,113.164,75858.2,167480.2,82890.1,139440.9,8732,,,,,,,
Nevada,2022,12/1/22,5.3,-879,19380.5,116.706,116630.1,227320.6,92189.1,190463.3,18501.5,,,,,,,
New Hampshire,2022,12/1/22,2.2,-371.3,7058.8,112.61,59932.6,106488,39867.9,91416.1,6687.5,,,,,,,
New Jersey,2022,12/1/22,3.8,-3336.1,72028.5,110.193,405493.4,758288.7,284103,650235.8,68692.4,,,,,,,
New Mexico,2022,12/1/22,3.6,-639.8,11334.3,110.827,60971.2,128138.8,56473,103301.6,10694.6,,,,,,,
New York,2022,12/1/22,4.2,-13806.1,149996.4,108.635,1036107.7,2052758.8,880460.8,1765102.1,136190.3,,,,,,,
North Carolina,2022,12/1/22,3.7,-2897.5,44179,113.3,389014.7,728498.7,298202.4,619537.2,41281.5,,,,,,,
North Dakota,2022,12/1/22,2,-2503.5,6641.9,99.041,32341.3,73780,37300.4,55988,4138.3,,,,,,,
Ohio,2022,12/1/22,3.9,-3159.7,55549.4,106.604,424664.2,832660.7,355606.9,695257.9,52389.7,,,,,,,
Oklahoma,2022,12/1/22,3.1,-1489.4,16614.5,100.728,117553.5,245976.2,113297.6,193940.5,15125.1,,,,,,,
Oregon,2022,12/1/22,4,-1750.4,17568,113.536,167963.4,298848,115067,256062.7,15817.6,,,,,,,
Pennsylvania,2022,12/1/22,3.8,-4327,62290.7,103.32,496877.6,919741.1,364899.8,779360.6,57963.7,,,,,,,
Rhode Island,2022,12/1/22,3,-364,6185.3,105.969,41207.6,72869.2,25840.3,62279.4,5821.3,,,,,,,
South Carolina,2022,12/1/22,3.1,-1054.1,23083.8,113.144,160374.5,301945.1,119540.9,254504.5,22029.7,,,,,,,
South Dakota,2022,12/1/22,2,-1966.7,5008.4,107.061,30946.5,69069.3,35081.1,55259.8,3041.6,,,,,,,
Tennessee,2022,12/1/22,3.5,-2106.6,35006.8,116.615,244122.3,488670.1,211647.6,414470.8,32900.2,,,,,,,
Texas,2022,12/1/22,4.1,-8766.7,196280.5,117.117,1135787.7,2436925,1113623.5,1952708.6,187513.8,,,,,,,
Utah,2022,12/1/22,2.5,-987.1,14804.7,126.365,131528.4,261080.8,115734.8,217442.5,13817.6,,,,,,,
Vermont,2022,12/1/22,2.3,-236.7,4140.1,106.638,22853.1,41011.6,14255.1,34752.6,3903.4,,,,,,,
Virginia,2022,12/1/22,3.1,-2523.2,45516.1,112.677,375797.9,666681.8,247890.9,580475.2,42993,,,,,,,
Washington,2022,12/1/22,4.2,-3428,61360.9,122.176,376411,742909.5,308565.6,644075.1,57932.9,,,,,,,
West Virginia,2022,12/1/22,3.7,-328.1,7479.3,102.681,46004.3,98290,45134.5,77188,7151.2,,,,,,,
Wisconsin,2022,12/1/22,2.7,-1562.8,26213.3,105.549,223790.9,400621.4,152179.9,339747.9,24650.6,,,,,,,
Wyoming,2022,12/1/22,3.4,-247.1,4514.9,100.55,20834,49782.6,24680.8,37827.2,4267.8,,,,,,,
Alabama,2023,1/1/23,2.4,-758,18064.7,113.267,158996.9,304935.6,128632,245354.7,17306.7,,,,,,,
Alaska,2023,1/1/23,3.9,-199.2,4752.5,100.95,32975.3,68056,30527.4,54059.7,4553.3,,,,,,,
Arizona,2023,1/1/23,3.7,-1402.4,32541.2,126.809,270690.9,522767.2,220937.5,422399.6,31138.8,,,,,,,
Arkansas,2023,1/1/23,3,-918,13063.4,115.319,93333.5,178606.4,73127.5,142860.6,12145.4,,,,,,,
California,2023,1/1/23,4.5,-14375.1,261203.8,118.54,2013636.5,3870378.9,1609913.7,3248656.6,246828.7,,,,,,,
Colorado,2023,1/1/23,3,-1980.4,32905.6,124.799,282789.8,529626.5,215911.5,437056,30925.2,,,,,,,
Connecticut,2023,1/1/23,3.6,-1146.4,24392.5,104.657,172845.3,345911.9,149820.5,286628.4,23246.1,,,,,,,
Delaware,2023,1/1/23,4.1,-382.5,5325.1,112.161,41794.2,98068.7,51332,78014.4,4942.6,,,,,,,
Florida,2023,1/1/23,2.8,-4932.1,123920.5,127.385,825073.1,1600810.6,656749.2,1292787.6,118988.4,,,,,,,
Georgia,2023,1/1/23,3.2,-2043.8,48217,116.221,421785,831827.7,363869.5,678201.2,46173.2,,,,,,,
Hawaii,2023,1/1/23,3.1,-414.2,10546.3,101.347,58751.1,110265.4,41382.2,88614.3,10132.1,,,,,,,
Idaho,2023,1/1/23,2.9,-483.7,7284.9,131.484,61465.1,120958.3,52692.1,95897.9,6801.1,,,,,,,
Illinois,2023,1/1/23,4.4,-4212.4,85425.3,106.343,577773.7,1098346.1,439359.5,885651.3,81212.9,,,,,,,
Indiana,2023,1/1/23,3.2,-1452.2,28532,113.077,245192.9,499503.1,227230.4,404290.3,27079.8,,,,,,,
Iowa,2023,1/1/23,2.9,-1625,15867,107.977,117794.2,254032,121995.8,202051.4,14242,,,,,,,
Kansas,2023,1/1/23,2.8,-1748.2,15081.9,110.538,110245.7,228232.4,104653.1,183795.6,13333.7,,,,,,,
Kentucky,2023,1/1/23,4.1,-856,19033.6,110.244,149770.9,279707.5,111759,224418,18177.6,,,,,,,
